,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
219,Maruti Swift Dzire ZDI,Delhi,2013,"88,228",Diesel,1st,"4,23,299"
220,Maruti Ritz VDI,Delhi,2012,"86,937",Diesel,2nd,"2,74,799"
221,Maruti Vitara Brezza VDI,Delhi,2018,"67,617",Diesel,1st,"7,29,999"
222,Renault Duster 85 PS RXL,Delhi,2012,"97,044",Diesel,2nd,"3,50,899"
223,Maruti Baleno ALPHA DDIS 190,Delhi,2016,"81,175",Diesel,1st,"5,27,299"
224,Ford Ecosport 1.5 TDCI TITANIUM PLUS,Delhi,2017,"79,368",Diesel,1st,"6,66,299"
225,Hyundai Creta 1.6 CRDI SX PLUS AUTO,Delhi,2017,"80,682",Diesel,1st,"9,65,299"
226,Renault Duster RXL DIESEL 110,Delhi,2013,"74,809",Diesel,1st,"4,22,899"
227,Volkswagen Jetta TRENDLINE 1.4 TSI MT,Delhi,2012,"88,973",Petrol,2nd,"4,44,799"
228,Volkswagen Jetta COMFORTLINE 2.0L TDI,Delhi,2012,"99,476",Diesel,3rd,"3,66,099"
229,Maruti Swift Dzire ZDI,Delhi,2013,"77,823",Diesel,1st,"3,71,099"
230,Mahindra Scorpio S10,Delhi,2016,"51,569",Diesel,1st,"9,56,699"
231,Maruti Ritz VXI,Delhi,2009,"80,590",Petrol,1st,"2,62,699"
232,Maruti Swift Dzire VDI BS IV,Delhi,2014,"88,835",Diesel,1st,"3,44,299"
233,Hyundai Creta 1.6 CRDI SX PLUS AUTO,Delhi,2018,"65,305",Diesel,1st,"11,95,599"
234,Maruti Vitara Brezza VDI,Delhi,2016,"78,346",Diesel,1st,"6,01,899"
235,Hyundai Creta 1.6 SX (O) CRDI,Delhi,2018,"59,837",Diesel,2nd,"11,41,599"
236,Maruti Swift VDI,Delhi,2014,"89,039",Diesel,2nd,"3,31,999"
237,Maruti Swift LXI 1.3,Delhi,2008,"1,03,127",Petrol,2nd,"1,89,099"
238,Honda Amaze 1.5 SX MT I DTEC,Delhi,2015,"1,08,988",Diesel,1st,"3,42,299"
239,Renault Duster 85 PS RXE,Delhi,2013,"84,715",Diesel,2nd,"3,82,699"
240,Hyundai Creta 1.6 CRDI SX PLUS AUTO,Delhi,2017,"54,815",Diesel,1st,"11,09,299"
241,Maruti Swift VDI ABS,Delhi,2015,"76,724",Diesel,1st,"4,11,199"
242,Maruti Eeco 5 STR CNG WITH AC PLUSHTR,Delhi,2016,"75,292",Petrol + CNG,1st,"3,02,099"
243,Honda Jazz 1.2 BASE I VTEC,Delhi,2010,"1,07,333",Petrol,2nd,"2,35,099"
244,Hyundai Verna FLUIDIC 1.6 SX CRDI,Delhi,2014,"82,592",Diesel,2nd,"4,45,999"
245,Maruti Swift Dzire VDI BS IV,Delhi,2013,"79,248",Diesel,2nd,"3,52,799"
246,Maruti Ciaz ALPHA 1.3 DDIS SHVS,Delhi,2018,"57,860",Diesel,1st,"7,47,199"
247,Maruti Swift Dzire VDI BS IV,Delhi,2012,"1,02,746",Diesel,1st,"3,39,899"
248,Fiat Punto EVO MULTIJET 1.3 90 HP,Delhi,2014,"82,095",Diesel,1st,"2,69,199"
249,Maruti Ritz VDI,Delhi,2013,"96,288",Diesel,1st,"2,57,299"
250,Mercedes Benz E Class E 220 CDI ELEGANCE,Delhi,2013,"52,110",Diesel,1st,"12,47,899"
