,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
254,Maruti Swift Dzire LDI BS IV,Chandigarh,2013,"72,772",Diesel,1st,"2,82,499"
255,Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"79,282",Diesel,1st,"3,89,399"
256,Maruti Ritz VDI,Chandigarh,2013,"70,687",Diesel,1st,"2,78,899"
257,Maruti Ritz VDI,Chandigarh,2013,"66,549",Diesel,1st,"3,05,699"
258,Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"79,776",Diesel,1st,"3,40,999"
259,Maruti Swift Dzire ZDI,Chandigarh,2012,"79,396",Diesel,1st,"3,58,799"
260,Maruti SX4 VXI,Chandigarh,2008,"68,597",Petrol,2nd,"1,79,999"
261,Maruti Swift VDI,Chandigarh,2013,"70,684",Diesel,1st,"3,34,999"
262,Maruti Swift LDI BS IV,Chandigarh,2013,"75,493",Diesel,1st,"3,01,499"
263,Maruti Swift VDI,Chandigarh,2012,"84,213",Diesel,1st,"3,17,399"
264,Maruti Swift VDI,Chandigarh,2012,"82,585",Diesel,1st,"3,02,799"
265,Maruti Ritz VDI,Chandigarh,2012,"80,575",Diesel,2nd,"2,28,399"
266,Maruti Swift VDI,Chandigarh,2012,"80,682",Diesel,1st,"3,04,899"
267,Maruti Swift ZDI,Chandigarh,2012,"84,352",Diesel,1st,"3,20,299"
268,Maruti Swift VDI,Chandigarh,2013,"63,561",Diesel,1st,"3,64,099"
269,Maruti Zen Estilo VXI,Chandigarh,2009,"99,165",Petrol,2nd,"1,55,999"
270,Maruti Ritz VDI,Chandigarh,2013,"76,553",Diesel,1st,"2,73,599"
271,Honda City S MT PETROL,Chandigarh,2010,"86,479",Petrol,3rd,"3,04,899"
